City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,mandera,3.9366,41.867,84.65,50,1,24.7,KE,1694031478
354,flying fish cove,-10.4217,105.6791,74.88,83,100,11.5,CX,1694031324
355,vargem grande do sul,-21.8322,-46.8936,79.25,56,81,4.05,BR,1694031479
356,nikolayevsk-on-amure,53.1406,140.73,46.71,87,0,5.37,RU,1694031479
357,kialla,-36.4161,145.3954,43.75,77,19,13.65,AU,1694031479
358,alo,7.4178,6.7371,78.89,83,62,2.06,NG,1694031480
359,ballina,-28.8667,153.5667,55.78,90,2,5.23,AU,1694031480
360,muhos,64.808,25.9931,51.58,85,21,4.41,FI,1694031480
361,pacific grove,36.6177,-121.9166,72.41,71,0,12.66,US,1694031481
362,pitimbu,-7.4706,-34.8086,81.19,77,28,12.64,BR,1694031481
363,mersing,2.4312,103.8405,75.11,94,20,6.91,MY,1694031439
364,acarau,-2.8856,-40.12,81.09,66,15,20.78,BR,1694031482
365,amarante do maranhao,-5.5667,-46.7422,96.42,22,96,4.74,BR,1694031483
366,qarah bagh,34.9402,61.7759,65.95,19,0,6.42,AF,1694031484
367,kingsland,30.8,-81.6898,95.94,47,9,1.57,US,1694031243
368,afaahiti,-17.75,-149.2833,73.27,87,65,17.22,PF,1694031485
369,jianshui,23.6363,102.8264,65.12,93,16,3.02,CN,1694031485
370,veshenskaya,49.6303,41.7334,66.2,42,56,8.7,RU,1694031485
371,manokwari,-0.8667,134.0833,77.07,84,100,3.67,ID,1694031485
372,amga,60.8953,131.9608,37.51,91,86,2.13,RU,1694031486
373,kedougou,12.5579,-12.1743,76.41,93,100,3.53,SN,1694031486
374,kuusamo,65.9667,29.1833,42.84,87,0,2.3,FI,1694031486
375,neiafu,-18.65,-173.9833,74.08,78,20,6.91,TO,1694031486
376,fortaleza,-3.7227,-38.5247,82.53,69,0,17.27,BR,1694031486
377,kidal,18.4411,1.4078,88.54,38,79,9.13,ML,1694031486
378,benguela,-12.5763,13.4055,72.07,82,9,1.83,AO,1694031486
379,sinabang,2.4803,96.3801,79.25,83,100,8.99,ID,1694031487
380,minas de marcona,-15.2119,-75.1103,63.09,63,4,18.05,PE,1694031487
381,charlestown,-32.95,151.6667,57.85,89,0,1.99,AU,1694031487
382,najran,17.4924,44.1277,90.25,23,87,3.18,SA,1694031487
383,pokrovsk,48.282,37.1758,63.79,44,94,8.1,UA,1694031487
384,mossel bay,-34.1831,22.146,56.16,76,8,6.62,ZA,1694031488
385,glenwood,41.5425,-87.6023,81.91,51,100,14.97,US,1694031488
386,konstantinovka,49.6167,127.9833,59.02,92,99,7.76,RU,1694031488
387,dombarovskiy,50.7587,59.5386,61.92,57,80,5.86,RU,1694031488
388,santana,-0.0583,-51.1817,89.78,58,20,13.8,BR,1694031488
389,mejit,10.2753,170.8646,82.74,76,100,8.43,MH,1694031488
390,lake wales,27.9014,-81.5859,94.98,48,0,5.75,US,1694031488
391,zaragoza,41.6561,-0.8773,82.02,41,0,5.75,ES,1694031305
